Time	ThroughputH1	ThroughputH2	ThroughputH5
138	0.0	0.0	0.0
138.5	0.0	0.0	0.0
139	0.0	0.0	0.0
139.5	0.083199999999999996	0.0	0.0
140	0.0	0.0	0.0
140.5	0.0	0.0	0.0
141	0.0	0.0	0.0
141.5	0.033279999999999997	0.0	0.0
142	0.066559999999999994	0.0	0.0
142.5	0.0	0.0	0.0
143	0.049919999999999999	0.0	0.0
143.5	0.0	0.0	0.0
144	0.049919999999999999	0.0	0.0
144.5	0.033279999999999997	0.0	0.0
145	0.049919999999999999	0.0	0.0
145.5	0.0	0.0	0.0
146	0.049919999999999999	0.0	0.0
146.5	0.0	0.0	0.0
147	0.0	0.0	0.0
147.5	0.0	0.0	0.0
148	0.066559999999999994	0.0	0.0
148.5	0.033279999999999997	0.0	0.0
149	0.0	0.0	0.0
149.5	0.0	0.0	0.0
150	0.0	0.0	0.0
150.5	0.066559999999999994	0.0	0.0
151	0.0	0.0	0.0
151.5	0.0	0.0	0.0
152	0.0	0.0	0.0
152.5	0.0	0.0	0.0
153	0.083199999999999996	0.0	0.0
153.5	0.0	0.0	0.0
154	0.033279999999999997	0.0	0.0
154.5	0.066559999999999994	0.0	0.0
155	0.0	0.0	0.0
155.5	0.049919999999999999	0.0	0.0
156	0.0	0.0	0.0
156.5	0.0	0.0	0.0
157	0.0	0.0	0.0
157.5	0.0	0.0	0.0
158	0.0	0.0	0.0
158.5	0.0	0.0	0.0
159	0.13311999999999999	0.0	0.0
159.5	0.0	0.0	0.0
160	0.066559999999999994	0.0	0.0
160.5	0.0	0.0	0.0
161	0.0	0.0	0.0
161.5	0.049919999999999999	0.0	0.0
162	0.0	0.0	0.0
162.5	0.0	0.0	0.0
163	0.0	0.0	0.0
163.5	0.099839999999999998	0.0	0.0
164	0.033279999999999997	0.0	0.0
164.5	0.0	0.0	0.0
165	0.049919999999999999	0.0	0.0
165.5	0.0	0.0	0.0
166	0.066559999999999994	0.0	0.0
166.5	0.049919999999999999	0.0	0.0
167	0.016639999999999999	0.0	0.0
167.5	0.033279999999999997	0.0	0.0
168	0.0	0.0	0.0
168.5	0.083199999999999996	0.0	0.0
169	0.0	0.0	0.0
169.5	0.033279999999999997	0.0	0.0
170	0.0	0.0	0.0
170.5	0.083199999999999996	0.0	0.0
171	0.0	0.0	0.0
171.5	0.0	0.0	0.0
172	0.033279999999999997	0.0	0.0
172.5	0.033279999999999997	0.0	0.0
173	0.0	0.0	0.0
173.5	0.0	0.0	0.0
174	0.099839999999999998	0.0	0.0
174.5	0.033279999999999997	0.0	0.0
175	0.0	0.0	0.0
175.5	0.066559999999999994	0.0	0.0
176	0.0	0.0	0.0
176.5	0.049919999999999999	0.0	0.0
177	0.0	0.0	0.0
177.5	0.0	0.0	0.0
178	0.0	0.0	0.0
178.5	0.0	0.0	0.0
179	0.13311999999999999	0.0	0.0
179.5	0.0	0.0	0.0
