Time	Throughput1	Throughput2	Ratio
157.5	0.752	0.23999999999999999	3.1333333333333333
158	0.752	0.25600000000000001	2.9375
158.5	0.752	0.23999999999999999	3.1333333333333333
159	0.73599999999999999	0.25600000000000001	2.875
159.5	0.76800000000000002	0.25600000000000001	3.0
160	0.73599999999999999	0.23999999999999999	3.0666666666666669
160.5	0.752	0.25600000000000001	2.9375
161	0.752	0.25600000000000001	2.9375
161.5	0.752	0.23999999999999999	3.1333333333333333
162	0.752	0.25600000000000001	2.9375
162.5	0.752	0.23999999999999999	3.1333333333333333
163	0.73599999999999999	0.25600000000000001	2.875
163.5	0.76800000000000002	0.25600000000000001	3.0
164	0.73599999999999999	0.23999999999999999	3.0666666666666669
164.5	0.752	0.25600000000000001	2.9375
165	0.752	0.25600000000000001	2.9375
